rollout/,ep_len_mean,ep_rew_mean,time/,fps,iterations,time_elapsed,total_timesteps,train/,approx_kl,clip_fraction,clip_range,entropy_loss,explained_variance,learning_rate,loss,n_updates,policy_gradient_loss,value_loss
,116.0,7.68,,150,91,1236,186368,,0.00443196,0.0483,0.2,-0.463,0.414,0.0003,6.46,900.0,-0.00128,11.0
,120.0,8.88,,150,92,1249,188416,,0.00607583,0.0672,0.2,-0.504,0.436,0.0003,4.79,910.0,-0.00425,10.7
,119.0,9.38,,150,93,1264,190464,,0.0056032985,0.064,0.2,-0.471,0.0336,0.0003,6.87,920.0,-0.00355,16.1
,114.0,8.83,,150,94,1278,192512,,0.006197339,0.062,0.2,-0.462,0.182,0.0003,6.5,930.0,-0.00396,17.4
,105.0,7.37,,150,95,1292,194560,,0.0046247263,0.0526,0.2,-0.494,0.0556,0.0003,6.87,940.0,-0.00359,16.9
,110.0,8.9,,150,96,1304,196608,,0.0055468,0.0555,0.2,-0.464,0.127,0.0003,5.77,950.0,-0.00352,14.6
,118.0,9.99,,150,97,1317,198656,,0.007740879,0.0767,0.2,-0.455,0.0159,0.0003,6.77,960.0,-0.00532,15.9
,113.0,9.64,,150,98,1331,200704,,0.008455358,0.0906,0.2,-0.451,0.0799,0.0003,6.46,970.0,-0.00452,14.8
,116.0,9.76,,150,99,1345,202752,,0.0050024856,0.0526,0.2,-0.443,0.249,0.0003,9.06,980.0,-0.00446,16.6
,122.0,10.8,,150,100,1358,204800,,0.0043312795,0.0445,0.2,-0.455,0.149,0.0003,8.52,990.0,-0.0014,16.0
,126.0,11.6,,150,101,1371,206848,,0.005173521,0.0582,0.2,-0.464,0.101,0.0003,5.77,1000.0,-0.00364,14.6
,119.0,10.9,,150,102,1385,208896,,0.0055506704,0.0583,0.2,-0.456,0.168,0.0003,6.39,1010.0,-0.00539,17.8
,118.0,10.7,,150,103,1399,210944,,0.0073387283,0.0721,0.2,-0.456,0.108,0.0003,11.8,1020.0,-0.00568,18.2
,119.0,10.6,,150,104,1413,212992,,0.00571745,0.0613,0.2,-0.465,0.26,0.0003,4.99,1030.0,-0.00387,13.3
,121.0,10.7,,150,105,1426,215040,,0.0042936085,0.0574,0.2,-0.451,0.0362,0.0003,6.92,1040.0,-0.0045,17.1
,115.0,9.74,,150,106,1439,217088,,0.009828411,0.0769,0.2,-0.48,0.115,0.0003,7.12,1050.0,-0.00229,15.5
,114.0,9.75,,150,107,1452,219136,,0.005418717,0.0663,0.2,-0.475,0.162,0.0003,6.97,1060.0,-0.00311,17.6
